study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP048928	SRX732908	GSM1525545: KSHV Transcriptome at 72hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721695	GSM1525545	Illumina HiSeq 2000	1308066	32307186	SRR1612540	1308066	66711366
SRP048928	SRX732907	GSM1525544: KSHV Transcriptome at 48hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721694	GSM1525544	Illumina HiSeq 2000	4352343	133020814	SRR1612539	4352343	221969493
SRP048928	SRX732906	GSM1525543: KSHV Transcriptome at 24hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721697	GSM1525543	Illumina HiSeq 2000	9093607	277369168	SRR1612538	9093607	463773957
SRP048928	SRX732905	GSM1525542: KSHV Transcriptome at 4hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721693	GSM1525542	Illumina HiSeq 2000	6785968	212972446	SRR1612537	6785968	346084368
SRP048927	SRX732904	GSM1525536: BAC36-delORF59 Transcriptome at 48hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721711	GSM1525536	Illumina HiSeq 2000	19830341	625767561	SRR1612536	19830341	991517050
SRP048927	SRX732903	GSM1525535: BAC36-delORF59 Transcriptome at 24hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721688	GSM1525535	Illumina HiSeq 2000	21967779	688793368	SRR1612535	21967779	1098388950
SRP048927	SRX732902	GSM1525534: BAC36-delORF59 Transcriptome at 4hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721687	GSM1525534	Illumina HiSeq 2000	24628618	768644410	SRR1612534	24628618	1231430900
SRP048927	SRX732901	GSM1525533: BAC36 Transcriptome at 48hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721686	GSM1525533	Illumina HiSeq 2000	22871949	710100195	SRR1612533	22871949	1143597450
SRP048927	SRX732900	GSM1525532: BAC36 Transcriptome at 24hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721685	GSM1525532	Illumina HiSeq 2000	21736673	672566169	SRR1612532	21736673	1086833650
SRP048927	SRX732899	GSM1525531: BAC36 Transcriptome at 4hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721684	GSM1525531	Illumina HiSeq 2000	21268538	664696979	SRR1612531	21268538	1063426900
